idea_id,citation_id,title,year,identifier,source_type,claim_supported,verification_status,notes
idea-004,L1,"Developing Generalist Foundation Models from a Multimodal Dataset for 3D Computed Tomography (CT-RATE / CT-CLIP)",2024,"arXiv:2403.17834; github.com/ibrahimethemhamamci/CT-CLIP",primary_paper_and_official_repo,"CT-RATE structure; 18 abnormality outputs; ~0.5 s/volume ClassFine inference; checkpoint download links",VERIFIED_README_INSPECTED_2026-08-11,"README maps 'CT-CLIP (ClassFine)' to models/CT-CLIP-Related/CT_LiPro_v2.pt inside the CT-RATE HF dataset repo; naming (LiPro vs ClassFine) must be confirmed at load time"
idea-004,L2,"Adaptation to CT Reconstruction Kernels by Enforcing Cross-Domain Feature Maps Consistency (Zuo et al.)",2022,"PMCID:PMC9503667",primary_paper,"Paired kernel reconstructions cause prediction/feature inconsistency in lung-CT models",VERIFIED_IN_PRIOR_CRITIQUE,"Segmentation task; not CT-RATE; not ClassFine outputs — establishes premise, not the delta"
idea-004,L3,"Kernel Conversion for Robust Quantitative Measurements of Archived Chest CT (Hwang et al.)",2022,"PMID:35112080; DOI:10.3389/frai.2021.769557",primary_paper,"Sharp/soft kernel pairs change quantitative chest-CT measures",VERIFIED_IN_PRIOR_CRITIQUE,"Quantitative measurements, not abnormality classification heads"
idea-004,L4,"Impact of reconstruction kernel variability on segmentation consistency in low-dose thoracic CT (Liard et al.)",2025,"DOI:10.1117/12.3085743; PMID:42266434",primary_paper,"Large-scale paired-kernel consistency evaluation exists for thoracic CT segmentation",VERIFIED_IN_PRIOR_CRITIQUE,"Closest design vocabulary; segmentation endpoint, not named abnormality scores"
idea-004,L5,"Foundation-model feature robustness across reconstruction kernels and slice thickness in repeated LDCT",2025,"PMID:42038169",primary_paper,"Foundation-model features vary across kernels/thickness",VERIFIED_IN_PRIOR_CRITIQUE,"Features, not CT-CLIP's 18 scan-level outputs; weakens broad novelty, not the narrow delta"
idea-004,L6,"Imitating Radiological Scrolling: A Global-Local Attention Model for 3D Chest CT Multi-Label Anomaly Classification (CT-Scroll)",2025,"arXiv:2503.20652",primary_paper,"Between-method AUROC spread on CT-RATE validation exists as external equivalence-margin anchor",PARTIALLY_VERIFIED_2026-08-11,"Abstract inspected: evaluates on CT-RATE; AUROC tables NOT yet extracted — PDF inspection required before margin fixing"
idea-004,L7,"Quantitative imaging biomarkers: a review of statistical methods for technical performance assessment (Raunig et al.)",2015,"PMID:24919831; PMCID:PMC5574197",primary_paper,"Repeatability coefficient preferred over ICC; high ICC can reflect between-subject heterogeneity",VERIFIED_IN_DEBATE,"Methodological basis for the revised primary statistics"
<<<<<<< HEAD
idea-021,L8,"Regional very low cerebral blood flow predicts infarct core (perfusion CT thresholds; Campbell et al.)",2011,"DOI:10.1161/STROKEAHA.111.618355; PMID:21980202",primary_paper,"Optimal infarct-core definition: relative CBF <31% of mean contralateral CBF; AUC 0.79 vs 0.74 for absolute CBV",VERIFIED_ABSTRACT_2026-08-18,"Clinical motivation only; the study does not claim the model computes this exact ratio"
idea-021,L9,"ISLES'24: Final Infarct Prediction with Multimodal Imaging and Clinical Data (challenge report)",2024,"arXiv:2408.10966",primary_paper,"Metrics Dice/AVD/lesion-F1/ALCD; winner Dice 0.285±0.213 and AVD 21.2±37.2 mL on 98 hidden cases; top teams nnU-Net-based and excluded raw 4D CTP; train 150 (100 Munich + 50 Zurich); test hidden",VERIFIED_HTML_2026-08-18,"Per-case Dice SD ~0.2 at mean ~0.28: weak signal, motivates the MDE gate"
