stratum,head_index,head_name,scale,statistic,point,ci95_lo,ci95_hi,replicates,n_patients,n_counted_pairs
Br40f|Br60f,0,Medical material,probability,median_signed,-7.31050968170166e-05,-0.00041878223419189453,0.0002987682819366455,2000,218,236
Br40f|Br60f,1,Arterial wall calcification,probability,median_signed,0.0013997852802276611,0.0009336471557617188,0.0018669068813323975,2000,218,236
Br40f|Br60f,2,Cardiomegaly,probability,median_signed,0.00012290477752685547,-0.0002377629280090332,0.0005306601524353027,2000,218,236
Br40f|Br60f,3,Pericardial effusion,probability,median_signed,-0.0005709528923034668,-0.0010350048542022705,-0.00032967329025268555,2000,218,236
Br40f|Br60f,4,Coronary artery wall calcification,probability,median_signed,0.0010013580322265625,0.0006535053253173828,0.0016020536422729492,2000,218,236
Br40f|Br60f,5,Hiatal hernia,probability,median_signed,0.0018167495727539062,0.0015895765274763108,0.0025010634213685984,2000,218,236
Br40f|Br60f,6,Lymphadenopathy,probability,median_signed,0.00017674267292022705,2.568028867244721e-05,0.0004277527332305908,2000,218,236
Br40f|Br60f,7,Emphysema,probability,median_signed,0.0008894652128219604,0.00045180320739746094,0.0013805627822875977,2000,218,236
Br40f|Br60f,8,Atelectasis,probability,median_signed,0.0001421719789505005,-0.00012069940567016602,0.00043329596519470215,2000,218,236
Br40f|Br60f,9,Lung nodule,probability,median_signed,0.001233816146850586,0.000996232032775879,0.0014215707778930664,2000,218,236
Br40f|Br60f,10,Lung opacity,probability,median_signed,-8.843839168548584e-05,-0.00032620131969451904,0.00019615888595581055,2000,218,236
Br40f|Br60f,11,Pulmonary fibrotic sequela,probability,median_signed,0.00142708420753479,0.0011631250381469727,0.0018019676208496094,2000,218,236
Br40f|Br60f,12,Pleural effusion,probability,median_signed,-0.0006469488143920898,-0.001427292823791504,-0.00013831257820129395,2000,218,236
Br40f|Br60f,13,Mosaic attenuation pattern,probability,median_signed,0.00010657310485839844,-0.0005304217338562012,0.0006509080529212944,2000,218,236
Br40f|Br60f,14,Peribronchial thickening,probability,median_signed,0.0005836188793182373,0.0003020763397216797,0.0008709177374839782,2000,218,236
Br40f|Br60f,15,Consolidation,probability,median_signed,-0.0008057355880737305,-0.0012142658233642578,-0.00029343888163566815,2000,218,236
Br40f|Br60f,16,Bronchiectasis,probability,median_signed,0.0007751584053039551,0.000510871410369873,0.001220405101776123,2000,218,236
Br40f|Br60f,17,Interlobular septal thickening,probability,median_signed,-0.00018389523029327393,-0.0007880181074142456,0.0002713203430175781,2000,218,236
Br40f|Br60f,0,Medical material,probability,mean_signed,0.0001482088434494148,-0.0005857003215991014,0.0008491374259016374,2000,218,236
Br40f|Br60f,1,Arterial wall calcification,probability,mean_signed,0.0030553421731722556,0.0020417051932432742,0.0040308983791113905,2000,218,236
Br40f|Br60f,2,Cardiomegaly,probability,mean_signed,0.0003290431479276237,-0.0008439131238955563,0.0014220437764221115,2000,218,236
Br40f|Br60f,3,Pericardial effusion,probability,mean_signed,-0.001013344374753661,-0.0019052342783721834,-0.0002080270526408314,2000,218,236
Br40f|Br60f,4,Coronary artery wall calcification,probability,mean_signed,0.0025400832547979838,0.0015500574599540402,0.0035074254580492277,2000,218,236
Br40f|Br60f,5,Hiatal hernia,probability,mean_signed,0.0028143898915436306,0.002341211040540727,0.003305890866202013,2000,218,236
Br40f|Br60f,6,Lymphadenopathy,probability,mean_signed,0.0004512785097299996,-0.00019028090139282047,0.0010727412264425564,2000,218,236
Br40f|Br60f,7,Emphysema,probability,mean_signed,0.001787027186256344,0.001268686103711819,0.002281163829726379,2000,218,236
Br40f|Br60f,8,Atelectasis,probability,mean_signed,0.0005073346576448214,-7.771470465349736e-05,0.0010676771265179159,2000,218,236
Br40f|Br60f,9,Lung nodule,probability,mean_signed,0.0014914394182673955,0.0012717086578039646,0.0017139337035406153,2000,218,236
Br40f|Br60f,10,Lung opacity,probability,mean_signed,-0.00038632258015163873,-0.0008910092279802474,8.047209797558397e-05,2000,218,236
Br40f|Br60f,11,Pulmonary fibrotic sequela,probability,mean_signed,0.0017841891464540514,0.0014943931300019004,0.0020615188238468575,2000,218,236
Br40f|Br60f,12,Pleural effusion,probability,mean_signed,-0.0015159414733870555,-0.002689020029943565,-0.00034112638876408,2000,218,236
Br40f|Br60f,13,Mosaic attenuation pattern,probability,mean_signed,0.00015980510388390493,-0.0006434718732052162,0.0009312280346738531,2000,218,236
Br40f|Br60f,14,Peribronchial thickening,probability,mean_signed,0.0007362509683027106,0.0002242673451997012,0.001225332874714142,2000,218,236
Br40f|Br60f,15,Consolidation,probability,mean_signed,-0.0014818548145940748,-0.002228325325506922,-0.0007587450059191343,2000,218,236
Br40f|Br60f,16,Bronchiectasis,probability,mean_signed,0.0010770257499258396,0.0007745960080209792,0.0013936677185450049,2000,218,236
Br40f|Br60f,17,Interlobular septal thickening,probability,mean_signed,-0.0006233803549055326,-0.0014110923086444282,0.00012543191648116197,2000,218,236
Br40f|Br60f,0,Medical material,probability,q95_abs,0.012262791395187378,0.01044631414115429,0.014749720767140378,2000,218,236
Br40f|Br60f,1,Arterial wall calcification,probability,q95_abs,0.018820323050022125,0.015319585278630254,0.023204378783702843,2000,218,236
Br40f|Br60f,2,Cardiomegaly,probability,q95_abs,0.020362943410873413,0.01600102119147777,0.02387432016432283,2000,218,236
Br40f|Br60f,3,Pericardial effusion,probability,q95_abs,0.0133446604013443,0.010898081660270691,0.01743551790714261,2000,218,236
Br40f|Br60f,4,Coronary artery wall calcification,probability,q95_abs,0.017709262669086456,0.014898696541786187,0.022799968719482422,2000,218,236
Br40f|Br60f,5,Hiatal hernia,probability,q95_abs,0.009720370173454285,0.008612334728240967,0.012056410312652588,2000,218,236
Br40f|Br60f,6,Lymphadenopathy,probability,q95_abs,0.011761553585529327,0.008785825036466122,0.013660848140716553,2000,218,236
Br40f|Br60f,7,Emphysema,probability,q95_abs,0.010276444256305695,0.008344834409654138,0.011668762192130071,2000,218,236
Br40f|Br60f,8,Atelectasis,probability,q95_abs,0.01022079586982727,0.008630045577883716,0.012294777259230566,2000,218,236
Br40f|Br60f,9,Lung nodule,probability,q95_abs,0.004875585436820984,0.004057705402374268,0.005824089050292969,2000,218,236
Br40f|Br60f,10,Lung opacity,probability,q95_abs,0.008010521531105042,0.006750412881374359,0.009703707173466665,2000,218,236
Br40f|Br60f,11,Pulmonary fibrotic sequela,probability,q95_abs,0.0059175193309783936,0.005228603929281234,0.006738737672567367,2000,218,236
Br40f|Br60f,12,Pleural effusion,probability,q95_abs,0.01988319307565689,0.01650172472000122,0.02433203537017102,2000,218,236
Br40f|Br60f,13,Mosaic attenuation pattern,probability,q95_abs,0.012582704424858093,0.010291556864976837,0.017306843101978293,2000,218,236
Br40f|Br60f,14,Peribronchial thickening,probability,q95_abs,0.008154362440109253,0.007610172778367996,0.009595638886094066,2000,218,236
Br40f|Br60f,15,Consolidation,probability,q95_abs,0.012117400765419006,0.010478846207261085,0.01364659428596494,2000,218,236
