chunk,pair_id,role,volume_name,sha256,size_bytes,session_id,downloaded_utc
chunk_15,p351,softer,valid_867_a_2.nii.gz,bb2592feb9d9efde6ea2c7f1445e018accfdee3a5539edd73815c190b6822e4b,110316671,20260815T231124Z-8e185556,2026-08-16T01:10:26Z
chunk_15,p351,sharper,valid_867_a_1.nii.gz,0c57df296367ffb7651fafe9d668a9df9c099e43bb39896b0e0f81cd56285a55,127673151,20260815T231124Z-8e185556,2026-08-16T01:10:30Z
chunk_15,p352,softer,valid_870_a_2.nii.gz,25eefbc37c107d61f227df42977e46f5f1e4e6ca401ec9dd9de6cb0b7298f706,139201539,20260815T231124Z-8e185556,2026-08-16T01:10:34Z
chunk_15,p352,sharper,valid_870_a_1.nii.gz,659ee209f5789d6935a5fb7e9d15133e08b02d88e7d1fc2e9a24305c2d5f0d3d,161557939,20260815T231124Z-8e185556,2026-08-16T01:10:37Z
chunk_15,p353,softer,valid_887_a_2.nii.gz,554535b2d91d992d66d17c3b982472eb8f729ce8e569d27ab26fa84da2c13172,132555270,20260815T231124Z-8e185556,2026-08-16T01:10:41Z
chunk_15,p353,sharper,valid_887_a_1.nii.gz,46e57f9663c6778e35ab048d61037dc8afa62a62a55defd2a886c08201c0ac1d,152553726,20260815T231124Z-8e185556,2026-08-16T01:10:45Z
chunk_15,p354,softer,valid_890_a_2.nii.gz,528cfbf64db2108915339b52d687d55c7dd9c53fb61dd897de709e99842266c4,127810319,20260815T231124Z-8e185556,2026-08-16T01:10:50Z
chunk_15,p354,sharper,valid_890_a_1.nii.gz,9a87876c336a1b6c9e0ec3b34cf7e5def4d4c427a41648f36d35a86ed3555222,149887736,20260815T231124Z-8e185556,2026-08-16T01:10:54Z
chunk_15,p355,softer,valid_900_a_2.nii.gz,c82d474f407a23813f8975cd0937df00ac23cc6eb7459d0b466e00077463719d,113687102,20260815T231124Z-8e185556,2026-08-16T01:10:57Z
chunk_15,p355,sharper,valid_900_a_1.nii.gz,296d8eb720433c30c63a755dc4586abd027f742c02865b73fd5b197dd6d3517f,130309148,20260815T231124Z-8e185556,2026-08-16T01:11:02Z
chunk_15,p356,softer,valid_90_a_2.nii.gz,9cb5578a9a06785ee0dc493021174762785332fc2fc3bd88eee1bb3675c1e991,104709550,20260815T231124Z-8e185556,2026-08-16T01:11:04Z
chunk_15,p356,sharper,valid_90_a_1.nii.gz,00941c04e6d221fc3e5800df7baaac6af7d7cd39ac008562114874bd2468b58e,121180490,20260815T231124Z-8e185556,2026-08-16T01:11:07Z
chunk_15,p357,softer,valid_90_c_2.nii.gz,a1cb59bc08c75c7fbbda3cd9827b3ead81c5851bd56b0b2b620211b56c81e359,111929468,20260815T231124Z-8e185556,2026-08-16T01:11:10Z
chunk_15,p357,sharper,valid_90_c_1.nii.gz,6ffd46a2609a359fd51085c66769979434a81ed05d54232457db5198b3d90ab0,130275443,20260815T231124Z-8e185556,2026-08-16T01:11:13Z
chunk_15,p358,softer,valid_921_a_2.nii.gz,fbb20cf62dde60118721212312d30b1dee86623cd4f7f9a1387d719a4b705755,100604885,20260815T231124Z-8e185556,2026-08-16T01:11:15Z
chunk_15,p358,sharper,valid_921_a_1.nii.gz,e55ad487cbcc8f8b16abe83550f6d0620065cb5603d0364a08d813c552697e4f,116755068,20260815T231124Z-8e185556,2026-08-16T01:11:18Z
chunk_15,p359,softer,valid_922_a_2.nii.gz,03a2ab0e76767639f7b9add6424cccb2af099ed2040ca9a85f4682a0ed927ee3,127661054,20260815T231124Z-8e185556,2026-08-16T01:11:22Z
chunk_15,p359,sharper,valid_922_a_1.nii.gz,e05ea48aa0bd51e5e5d055444ccbe1cb8c108a066ef2f2d4c034fb32299ae929,146409492,20260815T231124Z-8e185556,2026-08-16T01:11:25Z
chunk_15,p360,softer,valid_941_a_2.nii.gz,92b53dbaf901fa1f8cbfd41705b7276222d42e9c27ba27d59a2e89f778f2341b,117192284,20260815T231124Z-8e185556,2026-08-16T01:11:28Z
chunk_15,p360,sharper,valid_941_a_1.nii.gz,a5ee370d7d78d1ccfabf17c9086d0b54e1ce6f8ab4e6455fb5086ddd244fe188,137693606,20260815T231124Z-8e185556,2026-08-16T01:11:32Z
chunk_15,p361,softer,valid_949_a_2.nii.gz,59266bfc11abe07c24537e6b8dffcba0e72bf634d7ebf1265e434aaf6b5ef2b9,119709120,20260815T231124Z-8e185556,2026-08-16T01:11:34Z
chunk_15,p361,sharper,valid_949_a_1.nii.gz,b59251028429bb8785d993dd7a27a80c58ee496e4257810ea0ef809c9c9189e2,140295808,20260815T231124Z-8e185556,2026-08-16T01:11:40Z
chunk_15,p362,softer,valid_968_d_2.nii.gz,2d6a4c5b777afeec6aaa702915852919de9b74624be4261e4db7a54f344dc2ab,123282390,20260815T231124Z-8e185556,2026-08-16T01:11:43Z
chunk_15,p362,sharper,valid_968_d_1.nii.gz,1ca19182321774dccfacaf3350bbb2a088536657608e14df642e3dfe74ffa030,143588478,20260815T231124Z-8e185556,2026-08-16T01:11:46Z
chunk_15,p363,softer,valid_982_a_2.nii.gz,71ffc0e1332a1d1d9cd3e8326187e6ae5fbf90e966aa2aa7d8d320ac7b53fed2,126797629,20260815T231124Z-8e185556,2026-08-16T01:11:49Z
chunk_15,p363,sharper,valid_982_a_1.nii.gz,6f62511427a0280b34c513eeedc20363c8d3266121ac82a0dbcec35924845774,145669994,20260815T231124Z-8e185556,2026-08-16T01:11:52Z
chunk_15,p364,softer,valid_1006_b_2.nii.gz,3291b0d875e3045c2ad1aac6a9477dd3de0182ad442990053b10e28fbc909ab7,94713370,20260815T231124Z-8e185556,2026-08-16T01:11:56Z
chunk_15,p364,sharper,valid_1006_b_1.nii.gz,dc43990362e595ffa29de8986bc932482f3a053db9870025f372286afca9d744,110437915,20260815T231124Z-8e185556,2026-08-16T01:11:58Z
