volume_name,pair_id,role,kernel_normalized,kernel_raw,sha256,size_bytes,chunk,session_id
valid_1004_a_1.nii.gz,p001,softer,Br40f,"['Br40f', '3']",b058a53eff9f226dbff9725fade98fde412ac56e78a976e404e5c77e8e84f7bd,151159501,chunk_01,20260815T180544Z-f80be290
valid_1004_a_2.nii.gz,p001,sharper,Br60f,"['Br60f', '3']",dd581f82142646a4ad616cfc6f6b4a6ce8a058f029d47cff04004f1fc7bc2751,169076848,chunk_01,20260815T180544Z-f80be290
valid_100_a_1.nii.gz,p002,softer,Br40f,"['Br40f', '3']",8c15f10eb5f0a40212c55e71cfeb208f807ce791fd3cd555bee0854525c8f7f5,172856568,chunk_01,20260815T180544Z-f80be290
valid_100_a_2.nii.gz,p002,sharper,Br60f,"['Br60f', '3']",8b0a0b89486231716c29b7fd65cd9fc47ddd643f7338d8355c8d71b56f547c06,193535274,chunk_01,20260815T180544Z-f80be290
valid_1016_c_1.nii.gz,p003,softer,Br40f,"['Br40f', '3']",0822655925702630f38d8a9ed1a97ebcb8d8371a54b427c93dfdff3f79d28320,147454311,chunk_01,20260815T180544Z-f80be290
valid_1016_c_2.nii.gz,p003,sharper,Br60f,"['Br60f', '3']",c4c5f246d659a3ef030d740c3d91fda0ae9e90aeed28b086aa9696a8dbf2422e,166552308,chunk_01,20260815T180544Z-f80be290
valid_1016_d_1.nii.gz,p004,softer,Br40f,"['Br40f', '3']",932d9eebf16f10b14656b3d1ec33ddab2ae461b8b4e8f5bada3baf9c44b455c1,137270317,chunk_01,20260815T180544Z-f80be290
valid_1016_d_2.nii.gz,p004,sharper,Br60f,"['Br60f', '3']",e1bf2196554873c3b3fdd1c95f51dcde05ada86075a2ceda522887b052d06b14,155749335,chunk_01,20260815T180544Z-f80be290
valid_1016_e_1.nii.gz,p005,softer,Br40f,"['Br40f', '3']",dbae387da16be4ba7b72a9a3dad38b689434c50b7886eb4ae276d02c2182e8d0,136979026,chunk_01,20260815T180544Z-f80be290
valid_1016_e_2.nii.gz,p005,sharper,Br60f,"['Br60f', '3']",3337b4e73e57d3975998014f36b2e76dd2f2a764750e90bf97a8ef3a0d45e868,154359864,chunk_01,20260815T180544Z-f80be290
valid_1016_f_1.nii.gz,p006,softer,Br40f,"['Br40f', '3']",f8d086be5d3faf658c0e32d89654a39e091d7077d1a564ac1538bc79ab558838,138839871,chunk_01,20260815T180544Z-f80be290
valid_1016_f_2.nii.gz,p006,sharper,Br60f,"['Br60f', '3']",bb8de315d523ac3ae235b858c30ee45a565e12bb7c9eda9a5ce86eabd71e570b,157764004,chunk_01,20260815T180544Z-f80be290
valid_101_b_1.nii.gz,p007,softer,Br40f,"['Br40f', '3']",8266feab511c6138c0028122e1ad2eddf1ed935386b56363410864beafb4d91e,149037499,chunk_01,20260815T180544Z-f80be290
valid_101_b_2.nii.gz,p007,sharper,Br60f,"['Br60f', '3']",4a233e76b139b01dbe50c40cf4938889e7b54521d7e8ac2ca9d6f2b86055c3f0,169667960,chunk_01,20260815T180544Z-f80be290
valid_1021_a_1.nii.gz,p008,softer,Br40f,"['Br40f', '3']",491b92bcf0e9e9bb9f11d1e8d746bb75c1a57994ecb8ed60279b9bd44e4101d2,143338434,chunk_01,20260815T180544Z-f80be290
valid_1021_a_2.nii.gz,p008,sharper,Br60f,"['Br60f', '3']",a01c18daa6bc891b1a67ddb56489b714f85c2c7dc0f8b434bc2d27aa4d6a79b1,163293741,chunk_01,20260815T180544Z-f80be290
valid_1025_b_1.nii.gz,p009,softer,Br40f,"['Br40f', '3']",1744bf5984bd9618b14bb15db87e0cda3bbe1d8327b3e9988ccb5a08e701e014,173671734,chunk_01,20260815T180544Z-f80be290
valid_1025_b_2.nii.gz,p009,sharper,Br60f,"['Br60f', '3']",c3962120a3b6d411d1a424a36389748bdc8bba374eb411ffe4d696065861abd5,199243139,chunk_01,20260815T180544Z-f80be290
valid_1040_a_1.nii.gz,p010,softer,Br40f,"['Br40f', '3']",581734d9a7c4ab4d8781cc94ebb4d632bea2ad1aeaa4b4d5372a826033e6037b,170506271,chunk_01,20260815T180544Z-f80be290
valid_1040_a_2.nii.gz,p010,sharper,Br60f,"['Br60f', '3']",583837e1471404dfcb0fe3504f0abf40ca956427cb3e513ec910a4037874a9cb,194451448,chunk_01,20260815T180544Z-f80be290
valid_1043_a_1.nii.gz,p011,softer,Br40f,"['Br40f', '3']",1c1a35f5c7e5a0d245299d8c8eb6e07f042466912e22292ea34639c962aee67b,154448433,chunk_01,20260815T180544Z-f80be290
valid_1043_a_2.nii.gz,p011,sharper,Br60f,"['Br60f', '3']",c3cb021d8d88bc0cd3481355d6ec60171f024e2b39c7fd9b1f7d3c77b544c097,173199037,chunk_01,20260815T180544Z-f80be290
valid_1055_a_1.nii.gz,p012,softer,Br40f,"['Br40f', '3']",d1777b2d2aba17ad24c2c58fdfe293ab1b5d08071382761bda5fb787fe08ccf4,182552623,chunk_01,20260815T180544Z-f80be290
valid_1055_a_2.nii.gz,p012,sharper,Br60f,"['Br60f', '3']",9e57d94243b4a9572a205d0545bec1620a2371858f0af1fb6f080072ca042f9b,206883146,chunk_01,20260815T180544Z-f80be290
valid_1060_a_1.nii.gz,p013,softer,Br40f,"['Br40f', '3']",67721d0031729da213ffc6d7cb76f26b7c640046a45a07d93a4639d5f970ae93,155934960,chunk_01,20260815T180544Z-f80be290
valid_1060_a_2.nii.gz,p013,sharper,Br60f,"['Br60f', '3']",01e63886417c721d116484575fad1f3054f1cbc81ea7db5353f5a621f53dcfbc,176442054,chunk_01,20260815T180544Z-f80be290
valid_1062_a_1.nii.gz,p014,softer,Br40f,"['Br40f', '3']",4eebe6c82d6494a8d86955f5eddefb2ae7f317d19735d8f1efc4d994e90123e4,128151411,chunk_01,20260815T180544Z-f80be290
valid_1062_a_2.nii.gz,p014,sharper,Br60f,"['Br60f', '3']",bf8c2bd94a2e71c0949695146778491e3c2ecadc0e9babf4eb6bc82375b3590f,147148023,chunk_01,20260815T180544Z-f80be290
valid_1065_a_1.nii.gz,p015,softer,Br40f,"['Br40f', '3']",710fca0232a57f2844713d88799d14e467aaff1283bc56866bb7501a370ed68d,157712715,chunk_01,20260815T180544Z-f80be290
valid_1065_a_2.nii.gz,p015,sharper,Br60f,"['Br60f', '3']",3ca21c1f105b720e55a94d04e005e5ad3684c8e29943a8668c9e742de021808e,176722860,chunk_01,20260815T180544Z-f80be290
valid_1069_b_1.nii.gz,p016,softer,Br40f,"['Br40f', '3']",3f22543e04c45e48e7a2e3dd962eb9f9e32b16a272aa89f84caf187746296449,131165553,chunk_01,20260815T180544Z-f80be290
valid_1069_b_2.nii.gz,p016,sharper,Br60f,"['Br60f', '3']",a0abb7124f236bd0a38c4672a6c65ba88145a5800516c0db96610b353dc7fca4,148115571,chunk_01,20260815T180544Z-f80be290
valid_1070_a_1.nii.gz,p017,softer,Br40f,"['Br40f', '3']",383cfa6a7b2a102e7a6bb412b56e7bf0436ae2b8e4533bcb256a0781c9ccaaa6,137449442,chunk_01,20260815T180544Z-f80be290
valid_1070_a_2.nii.gz,p017,sharper,Br60f,"['Br60f', '3']",eb57dfbcbac6745055269321df9849e5535a1b0dcd22a09d935fe9f4164ba9d4,156485560,chunk_01,20260815T180544Z-f80be290
valid_1081_b_1.nii.gz,p018,softer,Br40f,"['Br40f', '3']",cf656a11ac0a49b51a0619676b1f2d97fd2ba9ff02ef59ca99dc5fae6ee502fa,165715608,chunk_01,20260815T180544Z-f80be290
valid_1081_b_2.nii.gz,p018,sharper,Br60f,"['Br60f', '3']",699b25cf0fde077d8f7abe4e88975d3c3c9155e5f3a73826bc28ba46ca10b9e3,188454629,chunk_01,20260815T180544Z-f80be290
