N,M,maximum_ci_width,p0,rho,null_replicates,alternative_replicates,false_positive_rate,power
20,50,0.08,0.1,0.01,2000,2000,0.0035,0.968
20,50,0.08,0.1,0.05,2000,2000,0.004,0.97
20,50,0.08,0.1,0.1,2000,2000,0.004,0.9615
20,50,0.08,0.3,0.01,2000,2000,0.0025,0.1465
20,50,0.08,0.3,0.05,2000,2000,0.002,0.2005
20,50,0.08,0.3,0.1,2000,2000,0.003,0.254
20,50,0.08,0.5,0.01,2000,2000,0.0005,0.0505
20,50,0.08,0.5,0.05,2000,2000,0.0005,0.0825
20,50,0.08,0.5,0.1,2000,2000,0.002,0.129
20,50,0.1,0.1,0.01,2000,2000,0.0045,0.981
20,50,0.1,0.1,0.05,2000,2000,0.0025,0.984
20,50,0.1,0.1,0.1,2000,2000,0.005,0.988
20,50,0.1,0.3,0.01,2000,2000,0.0035,0.6585
20,50,0.1,0.3,0.05,2000,2000,0.004,0.7005
20,50,0.1,0.3,0.1,2000,2000,0.0045,0.738
20,50,0.1,0.5,0.01,2000,2000,0.003,0.483
20,50,0.1,0.5,0.05,2000,2000,0.003,0.553
20,50,0.1,0.5,0.1,2000,2000,0.002,0.635
20,50,0.12,0.1,0.01,2000,2000,0.0035,0.9825
20,50,0.12,0.1,0.05,2000,2000,0.0045,0.985
20,50,0.12,0.1,0.1,2000,2000,0.0045,0.983
20,50,0.12,0.3,0.01,2000,2000,0.0055,0.7675
20,50,0.12,0.3,0.05,2000,2000,0.0045,0.7885
20,50,0.12,0.3,0.1,2000,2000,0.0035,0.805
20,50,0.12,0.5,0.01,2000,2000,0.0035,0.682
20,50,0.12,0.5,0.05,2000,2000,0.0045,0.694
20,50,0.12,0.5,0.1,2000,2000,0.0045,0.7495
20,50,0.15,0.1,0.01,2000,2000,0.004,0.985
20,50,0.15,0.1,0.05,2000,2000,0.006,0.9855
20,50,0.15,0.1,0.1,2000,2000,0.0035,0.9875
20,50,0.15,0.3,0.01,2000,2000,0.001,0.7595
20,50,0.15,0.3,0.05,2000,2000,0.0035,0.766
20,50,0.15,0.3,0.1,2000,2000,0.0035,0.8085
20,50,0.15,0.5,0.01,2000,2000,0.003,0.6775
20,50,0.15,0.5,0.05,2000,2000,0.0055,0.7065
20,50,0.15,0.5,0.1,2000,2000,0.0045,0.7485
20,100,0.08,0.1,0.01,2000,2000,0.0025,1.0
20,100,0.08,0.1,0.05,2000,2000,0.005,1.0
20,100,0.08,0.1,0.1,2000,2000,0.0045,1.0
20,100,0.08,0.3,0.01,2000,2000,0.003,0.9675
20,100,0.08,0.3,0.05,2000,2000,0.005,0.9745
20,100,0.08,0.3,0.1,2000,2000,0.0035,0.9815
20,100,0.08,0.5,0.01,2000,2000,0.0055,0.9165
