anonymous_sample,paired_rows,finite_inputs,finite_delta
1,2,True,True
2,2,True,True
3,2,True,True
4,2,True,True
5,2,True,True
6,2,True,True
7,2,True,True
8,2,True,True
9,2,True,True
10,2,True,True
11,2,True,True
12,2,True,True
13,2,True,True
14,2,True,True
15,2,True,True
16,2,True,True
17,2,True,True
18,2,True,True
19,2,True,True
20,2,True,True
21,2,True,True
22,2,True,True
23,2,True,True
24,2,True,True
25,2,True,True
26,2,True,True
27,2,True,True
28,2,True,True
29,2,True,True
30,2,True,True
31,2,True,True
32,2,True,True
33,2,True,True
34,2,True,True
35,2,True,True
36,2,True,True
37,2,True,True
38,2,True,True
39,2,True,True
40,2,True,True
41,2,True,True
42,2,True,True
43,2,True,True
44,2,True,True
45,2,True,True
46,2,True,True
47,2,True,True
48,2,True,True
49,2,True,True
50,2,True,True
51,2,True,True
52,2,True,True
53,2,True,True
54,2,True,True
55,2,True,True
56,2,True,True
57,2,True,True
58,2,True,True
59,2,True,True
60,2,True,True
61,2,True,True
62,2,True,True
63,2,True,True
64,2,True,True
65,2,True,True
66,2,True,True
67,2,True,True
68,2,True,True
69,2,True,True
70,2,True,True
71,2,True,True
72,2,True,True
73,2,True,True
74,2,True,True
75,2,True,True
76,2,True,True
77,2,True,True
78,2,True,True
79,2,True,True
80,2,True,True
81,2,True,True
82,2,True,True
83,2,True,True
84,2,True,True
85,2,True,True
86,2,True,True
87,2,True,True
88,2,True,True
89,2,True,True
90,2,True,True
91,2,True,True
92,2,True,True
93,2,True,True
94,2,True,True
95,2,True,True
96,2,True,True
97,2,True,True
98,2,True,True
99,2,True,True
