anonymous_sample,split
1,opened_census
2,opened_census
3,opened_census
4,opened_census
5,opened_census
6,opened_census
7,opened_census
8,opened_census
9,opened_census
10,opened_census
11,opened_census
12,opened_census
13,opened_census
14,opened_census
15,opened_census
16,opened_census
17,opened_census
18,opened_census
19,opened_census
20,opened_census
21,opened_census
22,opened_census
23,opened_census
24,opened_census
25,opened_census
26,opened_census
27,opened_census
28,opened_census
29,opened_census
30,opened_census
31,opened_census
32,opened_census
33,opened_census
34,opened_census
35,opened_census
36,opened_census
37,opened_census
38,opened_census
39,opened_census
40,opened_census
41,opened_census
42,opened_census
43,opened_census
44,opened_census
45,opened_census
46,opened_census
47,opened_census
48,opened_census
49,opened_census
50,opened_census
51,opened_census
52,opened_census
53,opened_census
54,opened_census
55,opened_census
56,opened_census
57,opened_census
58,opened_census
59,opened_census
60,opened_census
61,opened_census
62,opened_census
63,opened_census
64,opened_census
65,opened_census
66,opened_census
67,opened_census
68,opened_census
69,opened_census
70,opened_census
71,opened_census
72,opened_census
73,opened_census
74,opened_census
75,opened_census
76,opened_census
77,opened_census
78,opened_census
79,opened_census
80,opened_census
81,opened_census
82,opened_census
83,opened_census
84,opened_census
85,opened_census
86,opened_census
87,opened_census
88,opened_census
89,opened_census
90,opened_census
91,opened_census
92,opened_census
93,opened_census
94,opened_census
95,opened_census
96,opened_census
97,opened_census
98,opened_census
99,opened_census
