rank,population_fraction,absolute_share
0,0.0,0.0
1,0.010101010101010102,0.0
2,0.020202020202020204,0.0
3,0.030303030303030304,0.0
4,0.04040404040404041,0.0
5,0.050505050505050504,0.0
6,0.06060606060606061,0.0
7,0.0707070707070707,5.1967394632472146e-05
8,0.08080808080808081,0.00012847321784791412
9,0.09090909090909091,0.00024368768404112832
10,0.10101010101010101,0.0004052189844617835
11,0.1111111111111111,0.0005690184894266962
12,0.12121212121212122,0.0007385928148026861
13,0.13131313131313133,0.0009092759379395433
14,0.1414141414141414,0.001088398223644469
15,0.15151515151515152,0.0012683457190820393
16,0.16161616161616163,0.00150426096451211
17,0.1717171717171717,0.001802461216469949
18,0.18181818181818182,0.0021422249640317605
19,0.1919191919191919,0.0025146165116628387
20,0.20202020202020202,0.0028931988850291125
21,0.21212121212121213,0.003371601330219072
22,0.2222222222222222,0.0039242165126326615
23,0.23232323232323232,0.004503364642975398
24,0.24242424242424243,0.0051005646698748545
25,0.25252525252525254,0.005740423292646585
26,0.26262626262626265,0.00638393768653541
27,0.2727272727272727,0.007053739433115772
28,0.2828282828282828,0.007748590767487091
29,0.29292929292929293,0.008581157853664364
30,0.30303030303030304,0.009452601805995652
31,0.31313131313131315,0.010352541326916327
32,0.32323232323232326,0.011310261713471749
33,0.3333333333333333,0.012271034701492937
34,0.3434343434343434,0.013232781125551596
35,0.35353535353535354,0.014276261895128824
36,0.36363636363636365,0.015320499275874895
37,0.37373737373737376,0.016487575895600747
38,0.3838383838383838,0.01782065402068756
39,0.3939393939393939,0.01916759005215545
40,0.40404040404040403,0.020866903900958748
41,0.41414141414141414,0.02294008829709411
42,0.42424242424242425,0.025083967428827413
43,0.43434343434343436,0.027236397023587294
44,0.4444444444444444,0.02980837236100541
45,0.45454545454545453,0.03248769430407773
46,0.46464646464646464,0.03533729831926261
47,0.47474747474747475,0.038410672093982426
48,0.48484848484848486,0.04152872484245685
49,0.494949494949495,0.04467671706375295
50,0.5050505050505051,0.047931340348050376
51,0.5151515151515151,0.05123102880927449
52,0.5252525252525253,0.05457334199045757
53,0.5353535353535354,0.05793151006481682
54,0.5454545454545454,0.061883363075063105
55,0.5555555555555556,0.06634519365629332
56,0.5656565656565656,0.07130450528095658
57,0.5757575757575758,0.07626448631361168
58,0.5858585858585859,0.082109250600232
59,0.5959595959595959,0.088012881532565
60,0.6060606060606061,0.09416584845362252
61,0.6161616161616161,0.10049517831272742
62,0.6262626262626263,0.10684025928903981
63,0.6363636363636364,0.11338856603583293
64,0.6464646464646465,0.12017330156090032
65,0.6565656565656566,0.12781416184624
66,0.6666666666666666,0.1355696181192468
67,0.6767676767676768,0.14368889350803937
68,0.6868686868686869,0.15185753425638243
69,0.696969696969697,0.1601077931068563
70,0.7070707070707071,0.16879282223967254
71,0.7171717171717171,0.17757387268508332
72,0.7272727272727273,0.18711105306156767
73,0.7373737373737373,0.19715352339416867
74,0.7474747474747475,0.20722537954091072
75,0.7575757575757576,0.21781657700999382
76,0.7676767676767676,0.22885567054865386
77,0.7777777777777778,0.24096091072088777
78,0.7878787878787878,0.25353411569562984
79,0.797979797979798,0.2664698923631964
80,0.8080808080808081,0.2809777281043633
81,0.8181818181818182,0.2970047823912666
82,0.8282828282828283,0.31359892525230165
83,0.8383838383838383,0.33172020499659344
84,0.8484848484848485,0.3546294091749839
85,0.8585858585858586,0.37817978334367836
86,0.8686868686868687,0.4023245166946965
87,0.8787878787878788,0.4303872744115853
88,0.8888888888888888,0.45985950137316733
89,0.898989898989899,0.4936490504169194
90,0.9090909090909091,0.52815616947789
91,0.9191919191919192,0.5653256652307339
92,0.9292929292929293,0.6027413258565272
93,0.9393939393939394,0.6441498212886547
94,0.9494949494949495,0.6924233637025055
95,0.9595959595959596,0.7417986020691902
96,0.9696969696969697,0.7921959685964787
97,0.9797979797979798,0.8484290348406559
98,0.98989898989899,0.9171928924540542
99,1.0,1.0
