source_line,reason
2,non_primary_band
5,non_primary_band
8,non_primary_band
11,non_primary_band
14,non_primary_band
17,non_primary_band
20,non_primary_band
23,non_primary_band
26,non_primary_band
29,non_primary_band
32,non_primary_band
35,non_primary_band
38,non_primary_band
41,non_primary_band
44,non_primary_band
47,non_primary_band
50,non_primary_band
53,non_primary_band
56,non_primary_band
59,non_primary_band
62,non_primary_band
65,non_primary_band
68,non_primary_band
71,non_primary_band
74,non_primary_band
77,non_primary_band
80,non_primary_band
83,non_primary_band
86,non_primary_band
89,non_primary_band
92,non_primary_band
95,non_primary_band
98,non_primary_band
101,non_primary_band
104,non_primary_band
107,non_primary_band
110,non_primary_band
113,non_primary_band
116,non_primary_band
119,non_primary_band
122,non_primary_band
125,non_primary_band
128,non_primary_band
131,non_primary_band
134,non_primary_band
137,non_primary_band
140,non_primary_band
143,non_primary_band
146,non_primary_band
149,non_primary_band
152,non_primary_band
155,non_primary_band
158,non_primary_band
161,non_primary_band
164,non_primary_band
167,non_primary_band
170,non_primary_band
173,non_primary_band
176,non_primary_band
179,non_primary_band
182,non_primary_band
185,non_primary_band
188,non_primary_band
191,non_primary_band
194,non_primary_band
197,non_primary_band
200,non_primary_band
203,non_primary_band
206,non_primary_band
209,non_primary_band
212,non_primary_band
215,non_primary_band
218,non_primary_band
221,non_primary_band
224,non_primary_band
227,non_primary_band
230,non_primary_band
233,non_primary_band
236,non_primary_band
239,non_primary_band
242,non_primary_band
245,non_primary_band
248,non_primary_band
251,non_primary_band
254,non_primary_band
257,non_primary_band
260,non_primary_band
263,non_primary_band
266,non_primary_band
269,non_primary_band
272,non_primary_band
275,non_primary_band
278,non_primary_band
281,non_primary_band
284,non_primary_band
287,non_primary_band
290,non_primary_band
293,non_primary_band
296,non_primary_band
