sheet,row,column,cell_type,value
Suppl. Tab. 1,1,A,s,Supplementary Table 1: Further information regarding the clinical data delivered within each case. 
Suppl. Tab. 1,3,A,s,Timepoint
Suppl. Tab. 1,3,B,s,Parameter
Suppl. Tab. 1,3,C,s,Unit
Suppl. Tab. 1,3,D,s,Data type
Suppl. Tab. 1,3,E,s,Description
Suppl. Tab. 1,4,A,s,Baseline
Suppl. Tab. 1,4,B,s,Identifier
Suppl. Tab. 1,4,D,s,text
Suppl. Tab. 1,4,E,s,Identifier
Suppl. Tab. 1,5,A,s,Baseline
Suppl. Tab. 1,5,B,s,Sex
Suppl. Tab. 1,5,D,s,categorial
Suppl. Tab. 1,5,E,s,"M = male, F = female"
Suppl. Tab. 1,6,A,s,Baseline
Suppl. Tab. 1,6,B,s,Age
Suppl. Tab. 1,6,D,s,numerical integer
Suppl. Tab. 1,6,E,s,Age at treatment
Suppl. Tab. 1,7,A,s,Baseline
Suppl. Tab. 1,7,B,s,Atrial fibrillation
Suppl. Tab. 1,7,D,s,categorial
Suppl. Tab. 1,7,E,s,"Presence of Atrial Fibrillation after cardiologic assessment (ECG, long-term ECG). "
Suppl. Tab. 1,8,A,s,Baseline
Suppl. Tab. 1,8,B,s,Hypertension
Suppl. Tab. 1,8,D,s,categorial
Suppl. Tab. 1,8,E,s,Presence of Hypertension as stated in neurological letter.
Suppl. Tab. 1,9,A,s,Baseline
Suppl. Tab. 1,9,B,s,Diabetes
Suppl. Tab. 1,9,D,s,categorial
Suppl. Tab. 1,9,E,s,Presence of Hypertension as stated in neurological letter.
Suppl. Tab. 1,10,A,s,Baseline
Suppl. Tab. 1,10,B,s,Hyperlipidemia
Suppl. Tab. 1,10,D,s,categorial
Suppl. Tab. 1,10,E,s,Presence of Hypertension as stated in neurological letter.
Suppl. Tab. 1,11,A,s,Baseline
Suppl. Tab. 1,11,B,s,Anticoagulation
Suppl. Tab. 1,11,D,s,categorial
Suppl. Tab. 1,11,E,s,Treatment with anticoagulants as stated in neurological letter.
Suppl. Tab. 1,12,A,s,Baseline
Suppl. Tab. 1,12,B,s,Statins
Suppl. Tab. 1,12,D,s,categorial
Suppl. Tab. 1,12,E,s,Intake of Statins as stated in neurological letter.
Suppl. Tab. 1,13,A,s,Baseline
Suppl. Tab. 1,13,B,s,PAIs
Suppl. Tab. 1,13,D,s,categorial
Suppl. Tab. 1,13,E,s,Intake of Platelet aggregation inhibitors.
Suppl. Tab. 1,14,A,s,Baseline
Suppl. Tab. 1,14,B,s,Glucose
Suppl. Tab. 1,14,C,s,mg/dl
Suppl. Tab. 1,14,D,s,numerical float
Suppl. Tab. 1,14,E,s,"At admission, reference value 70-110. Due to anonymization, values were randomly altered -/+ 5 %."
Suppl. Tab. 1,15,A,s,Baseline
Suppl. Tab. 1,15,B,s,Leucocytes
Suppl. Tab. 1,15,C,s,G/l
Suppl. Tab. 1,15,D,s,numerical float
Suppl. Tab. 1,15,E,s,"At admission,  reference value 4.0-9.0.  Due to anonymization, values were randomly altered -/+ 5 %."
Suppl. Tab. 1,16,A,s,Baseline
Suppl. Tab. 1,16,B,s,CRP
Suppl. Tab. 1,16,C,s,mg/dl
Suppl. Tab. 1,16,D,s,numerical float
Suppl. Tab. 1,16,E,s,"At admission,  reference value <0.5.  Due to anonymization, values were randomly altered -/+ 5 %."
Suppl. Tab. 1,17,A,s,Baseline
Suppl. Tab. 1,17,B,s,INR
Suppl. Tab. 1,17,D,s,numerical float
Suppl. Tab. 1,17,E,s,"At admission.  Due to anonymization, values were randomly altered -/+ 5 %."
Suppl. Tab. 1,18,A,s,Baseline
Suppl. Tab. 1,18,B,s,Wake-up
Suppl. Tab. 1,18,D,s,categorial
Suppl. Tab. 1,18,E,s,"1 = Wake-up stroke, 0 = No wake-up stroke"
Suppl. Tab. 1,19,A,s,Baseline
Suppl. Tab. 1,19,B,s,In-House
Suppl. Tab. 1,19,D,s,categorial
Suppl. Tab. 1,19,E,s,"1 = In-House stroke, 0 = No In-House stroke"
Suppl. Tab. 1,20,A,s,Baseline
Suppl. Tab. 1,20,B,s,Referral
Suppl. Tab. 1,20,D,s,categorial
Suppl. Tab. 1,20,E,s,"1 = referral from external clinc, 0 = referral directly to our clinic"
Suppl. Tab. 1,21,A,s,Baseline
Suppl. Tab. 1,21,B,s,Onset to door
Suppl. Tab. 1,21,C,s,hrs:min
Suppl. Tab. 1,21,D,s,duration
Suppl. Tab. 1,21,E,s,"Time of onset of symptoms to arrival at hospital, where first imaging was performed. In case of in-house stroke, the arrival of the neurologist at the patient was defined as the door-time. "
Suppl. Tab. 1,22,A,s,Baseline
Suppl. Tab. 1,22,B,s,Alert to door
Suppl. Tab. 1,22,C,s,hrs:min
Suppl. Tab. 1,22,D,s,duration
Suppl. Tab. 1,22,E,s,"Only defined for wake-up stokes, as not recorded in cases with known onset."
Suppl. Tab. 1,23,A,s,Baseline
Suppl. Tab. 1,23,B,s,NIHSS at admission
Suppl. Tab. 1,23,D,s,numerical integer
Suppl. Tab. 1,23,E,s,NIHSS at admission in hospital examined by the neurologist.
Suppl. Tab. 1,24,A,s,Baseline
Suppl. Tab. 1,24,B,s,mRS at admission
Suppl. Tab. 1,24,D,s,numerical integer
Suppl. Tab. 1,24,E,s,mRS at admission in hospital examined by the neurologist.
Suppl. Tab. 1,25,A,s,Baseline
Suppl. Tab. 1,25,B,s,mRS premorbid
Suppl. Tab. 1,25,D,s,numerical integer
Suppl. Tab. 1,25,E,s,mRS premorbid as stated by patient or relatives.
Suppl. Tab. 1,26,A,s,Baseline
Suppl. Tab. 1,26,B,s,Door to imaging
Suppl. Tab. 1,26,C,s,hrs:min
Suppl. Tab. 1,26,D,s,duration
Suppl. Tab. 1,26,E,s,"Time of  arrival at hospital, where first imaging was performed or in case of in-house stroke, the arrival of the neurologist at the patient to CT imaging. "
Suppl. Tab. 1,27,A,s,Baseline
Suppl. Tab. 1,27,B,s,Door to groin
Suppl. Tab. 1,27,C,s,hrs:min
Suppl. Tab. 1,27,D,s,duration
Suppl. Tab. 1,27,E,s,"Time of  arrival at hospital, where first imaging was performed or in case of in-house stroke, the arrival of the neurologist at the patient to groin."
Suppl. Tab. 1,28,A,s,Baseline
Suppl. Tab. 1,28,B,s,Door to first series
Suppl. Tab. 1,28,C,s,hrs:min
Suppl. Tab. 1,28,D,s,duration
Suppl. Tab. 1,28,E,s,"Time of  arrival at hospital, where first imaging was performed or in case of in-house stroke, the arrival of the neurologist at the patient to first angiography series. "
Suppl. Tab. 1,29,A,s,Baseline
Suppl. Tab. 1,29,B,s,Time of intervention
Suppl. Tab. 1,29,C,s,hrs:min
Suppl. Tab. 1,29,D,s,duration
Suppl. Tab. 1,29,E,s,Time of first angiography series to time of last angiography series.
Suppl. Tab. 1,30,A,s,Baseline
Suppl. Tab. 1,30,B,s,Door to recanalization
Suppl. Tab. 1,30,C,s,hrs:min
Suppl. Tab. 1,30,D,s,duration
Suppl. Tab. 1,30,E,s,"Time of  arrival at hospital, where first imaging was performed or in case of in-house stroke, the arrival of the neurologist at the patient to time of last angiography series."
Suppl. Tab. 1,31,A,s,Outcome
Suppl. Tab. 1,31,B,s,mTici postinterventional
Suppl. Tab. 1,31,D,s,ordinal
Suppl. Tab. 1,31,E,s,mTici directly after intervention.
Suppl. Tab. 1,32,A,s,Outcome
Suppl. Tab. 1,32,B,s,NIHSS 24h
Suppl. Tab. 1,32,D,s,numerical integer
Suppl. Tab. 1,32,E,s,NIHSS 24 hours after admission in hospital examined by the neurologist.
Suppl. Tab. 1,33,A,s,Outcome
Suppl. Tab. 1,33,B,s,mRS 24h
Suppl. Tab. 1,33,D,s,numerical integer
Suppl. Tab. 1,33,E,s,mRS 24 hours after admission in hospital examined by the neurologist.
Suppl. Tab. 1,34,A,s,Outcome
Suppl. Tab. 1,34,B,s,NIHSS discharge
Suppl. Tab. 1,34,D,s,numerical integer
Suppl. Tab. 1,34,E,s,NIHSS at discharge from the hospital examined by the neurologist.
Suppl. Tab. 1,35,A,s,Outcome
Suppl. Tab. 1,35,B,s,MRS discharge
Suppl. Tab. 1,35,D,s,numerical integer
Suppl. Tab. 1,35,E,s,mRS at discharge from the hospital hospital examined by the neurologist.
Suppl. Tab. 1,36,A,s,Outcome
Suppl. Tab. 1,36,B,s,MRS 3 months
Suppl. Tab. 1,36,D,s,numerical integer
Suppl. Tab. 1,36,E,s,"mRS 3 month after stroke, inquired per telephone by study nurse."
