case_id,rank_abs_contribution,rank_support,rank_discrepancy,in_head
sub-stroke0153,1,85,-84,True
sub-stroke0002,2,86,-84,True
sub-stroke0166,3,94,-91,True
sub-stroke0181,4,83,-79,True
sub-stroke0014,5,1,4,True
sub-stroke0098,6,59,-53,True
sub-stroke0090,7,48,-41,True
sub-stroke0114,8,4,4,True
sub-stroke0025,9,41,-32,True
sub-stroke0136,10,95,-85,True
sub-stroke0137,11,14,-3,False
sub-stroke0107,12,15,-3,False
sub-stroke0093,13,75,-62,False
sub-stroke0089,14,50,-36,False
sub-stroke0183,15,91,-76,False
sub-stroke0096,16,18,-2,False
sub-stroke0167,17,63,-46,False
sub-stroke0088,18,36,-18,False
sub-stroke0155,19,32,-13,False
sub-stroke0021,20,89,-69,False
sub-stroke0117,21,31,-10,False
sub-stroke0078,22,11,11,False
sub-stroke0154,23,56,-33,False
sub-stroke0113,24,16,8,False
sub-stroke0102,25,69,-44,False
sub-stroke0070,26,22,4,False
sub-stroke0026,27,26,1,False
sub-stroke0105,28,53,-25,False
sub-stroke0095,29,34,-5,False
sub-stroke0028,30,58,-28,False
sub-stroke0081,31,44,-13,False
sub-stroke0033,32,68,-36,False
sub-stroke0161,33,27,6,False
sub-stroke0189,34,24,10,False
sub-stroke0083,35,77,-42,False
sub-stroke0133,36,96,-60,False
sub-stroke0156,37,73,-36,False
sub-stroke0179,38,97,-59,False
sub-stroke0112,39,38,1,False
sub-stroke0009,40,37,3,False
sub-stroke0080,41,8,33,False
sub-stroke0037,42,82,-40,False
sub-stroke0006,43,7,36,False
sub-stroke0187,44,42,2,False
sub-stroke0015,45,23,22,False
sub-stroke0180,46,72,-26,False
sub-stroke0082,47,5,42,False
sub-stroke0188,48,66,-18,False
sub-stroke0186,49,49,0,False
sub-stroke0140,50,19,31,False
sub-stroke0119,51,74,-23,False
sub-stroke0170,52,92,-40,False
sub-stroke0138,53,17,36,False
sub-stroke0174,54,62,-8,False
sub-stroke0104,55,13,42,False
sub-stroke0005,56,54,2,False
sub-stroke0145,57,29,28,False
sub-stroke0134,58,79,-21,False
sub-stroke0068,59,39,20,False
sub-stroke0036,60,43,17,False
sub-stroke0164,61,40,21,False
sub-stroke0008,62,9,53,False
sub-stroke0169,63,46,17,False
sub-stroke0106,64,60,4,False
sub-stroke0048,65,55,10,False
sub-stroke0038,66,87,-21,False
sub-stroke0045,67,30,37,False
sub-stroke0022,68,6,62,False
sub-stroke0111,69,12,57,False
sub-stroke0092,70,88,-18,False
sub-stroke0151,71,2,69,False
sub-stroke0012,72,20,52,False
sub-stroke0109,73,64,9,False
sub-stroke0084,74,71,3,False
sub-stroke0100,75,70,5,False
sub-stroke0075,76,3,73,False
sub-stroke0182,77,51,26,False
sub-stroke0157,78,80,-2,False
sub-stroke0055,79,76,3,False
sub-stroke0074,80,90,-10,False
sub-stroke0185,81,57,24,False
sub-stroke0047,82,65,17,False
sub-stroke0057,83,67,16,False
sub-stroke0077,84,21,63,False
sub-stroke0071,85,35,50,False
sub-stroke0030,86,45,41,False
sub-stroke0139,87,33,54,False
sub-stroke0013,88,28,60,False
sub-stroke0019,89,61,28,False
sub-stroke0148,90,47,43,False
sub-stroke0086,91,25,66,False
sub-stroke0184,92,78,14,False
sub-stroke0079,93,10,83,False
sub-stroke0094,94,52,42,False
sub-stroke0141,95,81,14,False
sub-stroke0142,96,98,-2,False
sub-stroke0147,97,93,4,False
sub-stroke0163,98,99,-1,False
sub-stroke0175,99,84,15,False
