construct,field,vtype,role,item,level,head_value,rest_value,contrast_value,head_n_nonmissing,rest_n_nonmissing,insufficient_head_coverage,head_support_median,rest_support_median,head_abs_contribution_share_phase_a,head_support_share_phase_a,note
_context,,,,context_center,,,,,,,,113052.0,218189.0,0.5063509495830807,0.08961200117675944,No center/site field is documented in the clinical dictionary (Phase-A proposal center.documented=false); the mandatory-if-documented clause is discharged by this recorded absence.
_context,,,,context_support_shares,,,,,,,,113052.0,218189.0,0.5063509495830807,0.08961200117675944,"D4 joint display: every row carries head/rest eligible-deficit-support medians (B_i, voxels) and the two frozen Phase-A shares. Signed share 0.7928912778985707 is republished in summary context only. Share of the NET band-2/3 gap after cancellation across the opposing cases. Reversal accounting only: neither this number nor its difference from the support share may be interpreted as contribution per unit support or as evidence of keystone-like dominance."
_context,,,,context_exploratory_status,,,,,,,,113052.0,218189.0,0.5063509495830807,0.08961200117675944,"All uncertainty displays are exploratory-labeled; no p-value is selected, ranked, or headlined; nothing here is sampling inference or a separation verdict."
mrs_3month,MRS 3 months,ordinal,primary outcome,n_nonmissing,,8,76,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
mrs_3month,MRS 3 months,ordinal,primary outcome,n_missing,,2,13,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,missing = empty + parse failure + unresolved (census)
mrs_3month,MRS 3 months,ordinal,primary outcome,level_count,0,3,24,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
mrs_3month,MRS 3 months,ordinal,primary outcome,level_count,1,<3,15,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
mrs_3month,MRS 3 months,ordinal,primary outcome,level_count,2,0,8,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
mrs_3month,MRS 3 months,ordinal,primary outcome,level_count,3,0,5,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
mrs_3month,MRS 3 months,ordinal,primary outcome,level_count,4,<3,12,,8,76,False,113052.0,218189.0,0.5063509495830807,0.08961200117675944,
