case_id,stratum
sub-stroke0002,head
sub-stroke0005,rest
sub-stroke0006,rest
sub-stroke0008,rest
sub-stroke0009,rest
sub-stroke0012,rest
sub-stroke0013,rest
sub-stroke0014,head
sub-stroke0015,rest
sub-stroke0019,rest
sub-stroke0021,rest
sub-stroke0022,rest
sub-stroke0025,head
sub-stroke0026,rest
sub-stroke0028,rest
sub-stroke0030,rest
sub-stroke0033,rest
sub-stroke0036,rest
sub-stroke0037,rest
sub-stroke0038,rest
sub-stroke0045,rest
sub-stroke0047,rest
sub-stroke0048,rest
sub-stroke0055,rest
sub-stroke0057,rest
sub-stroke0068,rest
sub-stroke0070,rest
sub-stroke0071,rest
sub-stroke0074,rest
sub-stroke0075,rest
sub-stroke0077,rest
sub-stroke0078,rest
sub-stroke0079,rest
sub-stroke0080,rest
sub-stroke0081,rest
sub-stroke0082,rest
sub-stroke0083,rest
sub-stroke0084,rest
sub-stroke0086,rest
sub-stroke0088,rest
sub-stroke0089,rest
sub-stroke0090,head
sub-stroke0092,rest
sub-stroke0093,rest
sub-stroke0094,rest
sub-stroke0095,rest
sub-stroke0096,rest
sub-stroke0098,head
sub-stroke0100,rest
sub-stroke0102,rest
sub-stroke0104,rest
sub-stroke0105,rest
sub-stroke0106,rest
sub-stroke0107,rest
sub-stroke0109,rest
sub-stroke0111,rest
sub-stroke0112,rest
sub-stroke0113,rest
sub-stroke0114,head
sub-stroke0117,rest
sub-stroke0119,rest
sub-stroke0133,rest
sub-stroke0134,rest
sub-stroke0136,head
sub-stroke0137,rest
sub-stroke0138,rest
sub-stroke0139,rest
sub-stroke0140,rest
sub-stroke0141,rest
sub-stroke0142,rest
sub-stroke0145,rest
sub-stroke0147,rest
sub-stroke0148,rest
sub-stroke0151,rest
sub-stroke0153,head
sub-stroke0154,rest
sub-stroke0155,rest
sub-stroke0156,rest
sub-stroke0157,rest
sub-stroke0161,rest
sub-stroke0163,rest
sub-stroke0164,rest
sub-stroke0166,head
sub-stroke0167,rest
sub-stroke0169,rest
sub-stroke0170,rest
sub-stroke0174,rest
sub-stroke0175,rest
sub-stroke0179,rest
sub-stroke0180,rest
sub-stroke0181,head
sub-stroke0182,rest
sub-stroke0183,rest
sub-stroke0184,rest
sub-stroke0185,rest
sub-stroke0186,rest
sub-stroke0187,rest
sub-stroke0188,rest
sub-stroke0189,rest
